priority,net,endpoints,reason,suggested_test,status
HIGH,5M,IC120b.9;IC88.1;IC102.1;IC110.7;IC121.7;CN1.40;IC112.11;IC113.1,crosses 2 sheets — easy to mistrace at boundary,Power-off DMM continuity: IC120b.9 ↔ IC88.1; IC120b.9 ↔ IC102.1; IC120b.9 ↔ IC110.7; IC120b.9 ↔ IC121.7; IC120b.9 ↔ CN1.40; IC120b.9 ↔ IC112.11; IC120b.9 ↔ IC113.1 should all beep.,open
HIGH,GND,IC130a.7;IC120a.7;IC76.14;IC89.14;IC103.14;IC114.12;IC88.8;IC102.8;IC113.8;IC101.12;IC87.10;IC111.12;IC122.12;IC110.8;IC121.8;IC112.10;IC100.8;IC99.8;CN1.50;CN2.1;CN2.2;CN3.8;CN3.9;CN3.10;CN3.11;CN3.12;C_PWR1.2;C_PWR2.2;LED2.2;IC110.6;IC121.6;IC113.2;IC113.11;IC113.15;IC101.18;IC99.13;IC99.14;IC100.1;IC110.1;IC121.1;IC111.18;IC111.20;IC122.18;IC122.20,ground net — short or open is catastrophic,"Power-off DMM continuity, expect short: IC130a.7 ↔ IC120a.7; IC130a.7 ↔ IC76.14; IC130a.7 ↔ IC89.14; IC130a.7 ↔ IC103.14; IC130a.7 ↔ IC114.12; IC130a.7 ↔ IC88.8; IC130a.7 ↔ IC102.8; IC130a.7 ↔ IC113.8; IC130a.7 ↔ IC101.12; IC130a.7 ↔ IC87.10; IC130a.7 ↔ IC111.12; IC130a.7 ↔ IC122.12; IC130a.7 ↔ IC110.8; IC130a.7 ↔ IC121.8; IC130a.7 ↔ IC112.10; IC130a.7 ↔ IC100.8; IC130a.7 ↔ IC99.8; IC130a.7 ↔ CN1.50; IC130a.7 ↔ CN2.1; IC130a.7 ↔ CN2.2; IC130a.7 ↔ CN3.8; IC130a.7 ↔ CN3.9; IC130a.7 ↔ CN3.10; IC130a.7 ↔ CN3.11; IC130a.7 ↔ CN3.12; IC130a.7 ↔ C_PWR1.2; IC130a.7 ↔ C_PWR2.2; IC130a.7 ↔ LED2.2; IC130a.7 ↔ IC110.6; IC130a.7 ↔ IC121.6; IC130a.7 ↔ IC113.2; IC130a.7 ↔ IC113.11; IC130a.7 ↔ IC113.15; IC130a.7 ↔ IC101.18; IC130a.7 ↔ IC99.13; IC130a.7 ↔ IC99.14; IC130a.7 ↔ IC100.1; IC130a.7 ↔ IC110.1; IC130a.7 ↔ IC121.1; IC130a.7 ↔ IC111.18; IC130a.7 ↔ IC111.20; IC130a.7 ↔ IC122.18; IC130a.7 ↔ IC122.20",open
HIGH,MINUS12V,CN3.6;CN2.48;CN2.49,power net — short or open is catastrophic,Power-off DMM continuity: CN3.6 ↔ CN2.48; CN3.6 ↔ CN2.49 should all beep.,open
HIGH,PLUS12V,CN3.5;CN2.46;CN2.47,power net — short or open is catastrophic,Power-off DMM continuity: CN3.5 ↔ CN2.46; CN3.5 ↔ CN2.47 should all beep.,open
HIGH,VCC,IC130a.14;IC120a.14;IC120a.1;IC120a.4;IC120b.13;IC120b.10;IC76.28;IC76.1;IC89.28;IC89.1;IC103.28;IC103.1;IC114.24;IC88.16;IC102.16;IC113.16;IC101.24;IC87.20;IC111.24;IC122.24;IC110.16;IC121.16;IC112.20;IC100.16;IC99.16;CN1.45;CN1.46;CN3.1;CN3.2;CN3.3;CN3.4;C_PWR1.1;C_PWR2.1;R_LED1.1;CN2.4;IC112.1,power net — short or open is catastrophic,"Power-off DMM continuity, expect short: IC130a.14 ↔ IC120a.14; IC130a.14 ↔ IC120a.1; IC130a.14 ↔ IC120a.4; IC130a.14 ↔ IC120b.13; IC130a.14 ↔ IC120b.10; IC130a.14 ↔ IC76.28; IC130a.14 ↔ IC76.1; IC130a.14 ↔ IC89.28; IC130a.14 ↔ IC89.1; IC130a.14 ↔ IC103.28; IC130a.14 ↔ IC103.1; IC130a.14 ↔ IC114.24; IC130a.14 ↔ IC88.16; IC130a.14 ↔ IC102.16; IC130a.14 ↔ IC113.16; IC130a.14 ↔ IC101.24; IC130a.14 ↔ IC87.20; IC130a.14 ↔ IC111.24; IC130a.14 ↔ IC122.24; IC130a.14 ↔ IC110.16; IC130a.14 ↔ IC121.16; IC130a.14 ↔ IC112.20; IC130a.14 ↔ IC100.16; IC130a.14 ↔ IC99.16; IC130a.14 ↔ CN1.45; IC130a.14 ↔ CN1.46; IC130a.14 ↔ CN3.1; IC130a.14 ↔ CN3.2; IC130a.14 ↔ CN3.3; IC130a.14 ↔ CN3.4; IC130a.14 ↔ C_PWR1.1; IC130a.14 ↔ C_PWR2.1; IC130a.14 ↔ R_LED1.1; IC130a.14 ↔ CN2.4; IC130a.14 ↔ IC112.1",open
MED,10M,IC120a.5,touches AI low-confidence component(s): IC120a,(net has <2 endpoints; nothing to probe),open
MED,10M_BAR,IC120a.6;IC120b.11,"touches AI low-confidence component(s): IC120a, IC120b",Power-off DMM continuity: IC120a.6 ↔ IC120b.11 should all beep.,open
MED,3WENA,CN2.16,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
MED,5M_BAR,IC120b.8,touches AI low-confidence component(s): IC120b,(net has <2 endpoints; nothing to probe),open
MED,AL0,CN2.27,touches AI low-confidence component(s): CN2,(net has <2 endpoints; nothing to probe),open
