priority,net,endpoints,reason,suggested_test,status
HIGH,GND,U1.15;U2.29;U3.1;U4.16;U5A.7;U6.14;U7A.7,ground net — short or open is catastrophic,"Power-off DMM continuity, expect short: U1.15 ↔ U2.29; U1.15 ↔ U3.1; U1.15 ↔ U4.16; U1.15 ↔ U5A.7; U1.15 ↔ U6.14; U1.15 ↔ U7A.7",open
HIGH,VCC,U1.16;U2.11;U3.12;U4.32;U5A.14;U6.28;U7A.14,power net — short or open is catastrophic,"Power-off DMM continuity, expect short: U1.16 ↔ U2.11; U1.16 ↔ U3.12; U1.16 ↔ U4.32; U1.16 ↔ U5A.14; U1.16 ↔ U6.28; U1.16 ↔ U7A.14",open
MED,CLK,U5B.4;U2.6;U3.3;U3.4,clock net — timing-critical,Power-off DMM continuity: U5B.4 ↔ U2.6; U5B.4 ↔ U3.3; U5B.4 ↔ U3.4 should all beep.,open
MED,verify:U1,U1,"AI-added, moderate confidence 0.70; sheet 1 @ (154,81)","Locate chip U1 on the PCB and read the printed part number. Expect 'MAX232'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U2,U2,"AI-added, moderate confidence 0.70; sheet 1 @ (293,357)","Locate chip U2 on the PCB and read the printed part number. Expect 'Z80'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U3,U3,"AI-added, moderate confidence 0.70; sheet 1 @ (368,26)","Locate chip U3 on the PCB and read the printed part number. Expect 'MC6850'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U4,U4,"AI-added, moderate confidence 0.70; sheet 1 @ (820,311)","Locate chip U4 on the PCB and read the printed part number. Expect 'HM628128'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U5A,U5A,"AI-added, moderate confidence 0.70; sheet 1 @ (22,320)","Locate chip U5A on the PCB and read the printed part number. Expect '74HCT04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U5B,U5B,"AI-added, moderate confidence 0.70; sheet 1 @ (112,319)","Locate chip U5B on the PCB and read the printed part number. Expect '74HCT04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U5C,U5C,"AI-added, moderate confidence 0.70; sheet 1 @ (541,107)","Locate chip U5C on the PCB and read the printed part number. Expect '74HCT04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U6,U6,"AI-added, moderate confidence 0.70; sheet 1 @ (818,68)","Locate chip U6 on the PCB and read the printed part number. Expect '2764'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U7A,U7A,"AI-added, moderate confidence 0.70; sheet 1 @ (521,229)","Locate chip U7A on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U7B,U7B,"AI-added, moderate confidence 0.70; sheet 1 @ (525,310)","Locate chip U7B on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U7C,U7C,"AI-added, moderate confidence 0.70; sheet 1 @ (484,406)","Locate chip U7C on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:U7D,U7D,"AI-added, moderate confidence 0.70; sheet 1 @ (604,422)","Locate chip U7D on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,A0,U2.30;U6.10;U4.12;U3.11,spot-check,Power-off DMM continuity: U2.30 ↔ U6.10; U2.30 ↔ U4.12; U2.30 ↔ U3.11 should all beep.,open
LOW,A1,U2.31;U6.9;U4.11,spot-check,Power-off DMM continuity: U2.31 ↔ U6.9; U2.31 ↔ U4.11 should all beep.,open
LOW,A10,U2.40;U6.21;U4.23,spot-check,Power-off DMM continuity: U2.40 ↔ U6.21; U2.40 ↔ U4.23 should all beep.,open
LOW,A11,U2.1;U6.23;U4.25,spot-check,Power-off DMM continuity: U2.1 ↔ U6.23; U2.1 ↔ U4.25 should all beep.,open
LOW,A12,U2.2;U6.2;U4.4,spot-check,Power-off DMM continuity: U2.2 ↔ U6.2; U2.2 ↔ U4.4 should all beep.,open
LOW,A13,U2.3;U4.28;U7C.9,spot-check,Power-off DMM continuity: U2.3 ↔ U4.28; U2.3 ↔ U7C.9 should all beep.,open
